Formats, Percents, Profit after 1000 bets (in $)
BO1,60%-100%,-2489
BO3,0%-41%,-2501
BO3,0%-39%,-2577
BO3,0%-40%,-2628
BO1,57%-100%,-2640
BO5-BO3-BO,0%-33%,-2653
BO3,64%-100%,-2693
BO3,62%-100%,-2697
BO3,0%-11%,-2700
BO1,58%-100%,-2737
BO5-BO,0%-11%,-2800
BO3,65%-100%,-2803
BO5-BO3-BO,0%-36%,-2817
BO5-BO,0%-36%,-2819
BO1,53%-100%,-2860
BO5-BO3-BO,0%-23%,-2877
BO5-BO,0%-38%,-2909
BO5-BO,62%-100%,-2923
BO3,0%-37%,-2930
BO3,0%-13%,-2941
BO3,63%-100%,-2960
BO5-BO3-BO,0%-32%,-2962
BO1,52%-100%,-2970
BO5-BO3-BO,0%-34%,-2979
BO5-BO,64%-100%,-2980
BO5-BO,0%-13%,-3041
BO5-BO3-BO,0%-29%,-3048
BO5-BO3-BO,71%-100%,-3081
BO3,0%-35%,-3175
BO3,60%-100%,-3178
BO1,50%-100%,-3181
BO1,51%-100%,-3181
BO5-BO,65%-100%,-3200
BO3,61%-100%,-3209
BO3,50%-100%,-3221
BO5-BO,63%-100%,-3247
BO3,59%-100%,-3273
BO5-BO3-BO,0%-30%,-3285
BO5-BO,60%-100%,-3304
BO5-BO,61%-100%,-3335
BO3,0%-38%,-3365
BO3,0%-36%,-3375
BO3,0%-22%,-3389
BO5-BO3-BO,70%-100%,-3394
BO3,0%-17%,-3424
BO5-BO,0%-22%,-3502
BO3,57%-100%,-3505
BO3,58%-100%,-3529
BO5-BO,59%-100%,-3529
BO3,56%-100%,-3572
BO5-BO,50%-100%,-3577
BO3,53%-100%,-3619
BO5-BO,0%-31%,-3669
BO3,54%-100%,-3673
BO3,0%-21%,-3683
BO3,0%-12%,-3700
BO3,51%-100%,-3719
BO3,52%-100%,-3719
BO3,55%-100%,-3730
BO3,0%-14%,-3737
BO5-BO,57%-100%,-3761
BO5-BO,58%-100%,-3785
BO5-BO,0%-21%,-3796
